Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
R25,RES1005(0402)N,330.74mm,219.62mm,T,0,ERJ-2RKF1002X
R24,RES1005(0402)N,330.74mm,217.21mm,T,180,ERJ-2RKF1002X
R23,RES1005(0402)N,337.47mm,223.18mm,T,90,ERJ-2RKF1002X
R22,RES1005(0402)N,336.76mm,213.56mm,T,90,ERJ-2RKF22R0X
R21,RES1005(0402)N,339.30mm,211.40mm,T,0,ERJ-2RKF22R0X
R20,RES1005(0402)N,339.30mm,210.38mm,T,0,ERJ-2RKF22R0X
R19,RES1005(0402)N,339.30mm,209.36mm,T,0,ERJ-2RKF22R0X
R18,RES1005(0402)N,339.30mm,208.35mm,T,0,ERJ-2RKF22R0X
R17,RES1005(0402)N,339.30mm,207.33mm,T,0,ERJ-2RKF22R0X
R16,RES1005(0402)N,331.42mm,207.97mm,T,0,ERJ-2RKF1002X
R15,RES1005(0402)N,331.42mm,208.98mm,T,0,ERJ-2RKF1002X
R14,RES1005(0402)N,331.42mm,210.00mm,T,0,ERJ-2RKF1002X
R13,RES1005(0402)N,331.42mm,211.02mm,T,0,ERJ-2RKF1002X
R12,RES1005(0402)N,336.88mm,205.30mm,T,270,ERJ-2RKF22R0X
R11,RES1005(0402)N,335.87mm,205.30mm,T,270,ERJ-2RKF22R0X
R10,RES1005(0402)N,334.72mm,213.56mm,T,270,ERJ-2RKF4701X
R9,RES1005(0402)N,333.71mm,213.56mm,T,270,ERJ-2RKF4701X
C2,CAPC1005X06(0402)N,336.33mm,223.18mm,T,90,GCM155R71C104KA55D
C1,CAPC1005X06(0402)N,335.74mm,213.56mm,T,90,GCM155R71C104KA55D
SW2,GW12LCP_NKK,326.80mm,218.35mm,T,270,GW12LCP
SW1,GW12LCP_NKK,326.80mm,210.09mm,T,270,GW12LCP
U2,QFN-ML20_L,335.36mm,209.24mm,T,0,MCP23008-E/ML
D9,DFN65P100X55-2N,342.22mm,209.75mm,T,0,ESDL031-1BF4
D5,DFN65P100X55-2N,342.22mm,218.51mm,T,0,ESDL031-1BF4
D6,DFN65P100X55-2N,342.22mm,217.37mm,T,0,ESDL031-1BF4
D7,DFN65P100X55-2N,342.22mm,216.22mm,T,0,ESDL031-1BF4
D2,DFN65P100X55-2N,342.22mm,213.94mm,T,0,ESDL031-1BF4
D10,DFN65P100X55-2N,342.22mm,210.89mm,T,0,ESDL031-1BF4
D4,DFN65P100X55-2N,342.22mm,220.79mm,T,0,ESDL031-1BF4
D3,DFN65P100X55-2N,342.22mm,219.65mm,T,0,ESDL031-1BF4
D1,DFN65P100X55-2N,342.22mm,212.79mm,T,0,ESDL031-1BF4
D8,DFN65P100X55-2N,342.22mm,215.08mm,T,0,ESDL031-1BF4
U1,FP-RSV0016A-MFG,335.83mm,219.83mm,T,0,TMUX1574RSVR
R8,RES1005(0402)N,338.79mm,220.29mm,T,0,ERJ-2RKF22R0X
R7,RES1005(0402)N,338.79mm,221.30mm,T,0,ERJ-2RKF22R0X
R6,RES1005(0402)N,336.50mm,216.73mm,T,270,ERJ-2RKF22R0X
R5,RES1005(0402)N,338.79mm,219.27mm,T,0,ERJ-2RKF22R0X
R4,RES1005(0402)N,333.05mm,218.89mm,T,180,ERJ-2RKF22R0X
R3,RES1005(0402)N,333.05mm,219.91mm,T,180,ERJ-2RKF22R0X
R2,RES1005(0402)N,333.05mm,220.92mm,T,180,ERJ-2RKF22R0X
R1,RES1005(0402)N,335.19mm,223.18mm,T,90,ERJ-2RKF22R0X
J2,FP-D2510-6002-AR-MFG,319.21mm,214.09mm,T,90,D2510-6002-AR
J1,SAMTEC_HSEC8-109-01-L-RA,349.28mm,214.09mm,T,90,HSEC8-109-01-L-RA
